Nr linii,Nr kwadratu,Gatunek Kłody,Średnica w przecięciu
1,1,gb,14
1,1,sw,29
1,2,db,18
1,2,sw,13
1,8,os,13
1,8,kl,36
1,8,sw,20
1,8,os,16
1,9,br,12
1,10,sw,11
2,4,sw,22
2,5,db,17
2,7,db,10
2,8,sw,19
2,8,br,11
2,8,db,58
2,8,gb,14
2,8,gb,10
2,9,sw,13
2,9,br,20
2,9,sw,34
2,9,sw,40
3,1,sw,23
3,2,sw,37
3,4,db,16
3,8,db,72
3,9,sw,10
3,9,sw,10
3,9,sw,18
3,10,db,55
3,10,sw,27
3,10,sw,42
4,2,sw,25
4,4,sw,35
4,7,db,32
4,7,db,11
4,8,db,46
4,8,sw,17
4,9,sw,16
4,11,db,65
5,1,gb,16
5,1,gb,16
5,1,sw,10
5,1,sw,13
5,6,sw,48
5,6,gb,13
5,6,db,13
5,9,sw,16
5,11,sw,13
