Nr linii,Nr kwadratu ,Gatunek kłody,Średnica w połowie długości [cm],Długość [m]
1,1,sw,"22,5","19,7"
1,1,db,13,"6,7"
1,2,sw,15,"1,18"
1,2,sw,"11,5",2
1,3,os,7,2
1,3,sw,6,"3,3"
1,3,sw,19,"2,3"
1,3,sw,11,"3,9"
1,4,sw,"14,5","4,1"
1,5,sw,"1,5","2,28"
1,5,gb,12,"1,5"
1,5,sw,11,"2,5"
1,5,gb,9,"2,3"
1,6,db,12,"1,7"
1,6,db,12,"3,2"
1,6,db,17,"1,2"
1,6,db,8,"3,5"
1,6,sw,26,"2,3"
1,6,db,15,3
1,7,db,15,4
1,7,sw,"25,5","1,4"
1,7,sw,28,"3,7"
1,7,db,24,"1,6"
1,7,db,13,"2,1"
1,7,db,19,"2,6"
1,7,db,22,"1,6"
1,7,db,21,"2,3"
1,7,db,11,"6,5"
1,7,db,11,"8,6"
1,9,db,43,"21,2"
2,1,sw,20,"4,8"
2,2,sw,28,"25,5"
2,2,sw,8,1
2,2,sw,19,4
2,3,sw,16,"3,6"
2,3,sw,23,"8,4"
2,4,sw,14,"4,2"
2,4,sw,"13,5","6,8"
2,6,gb,"14,5","3,3"
2,6,db,11,"2,1"
2,6,db,15,2
2,6,db,8,"2,1"
2,6,db,5,"3,2"
2,7,gb,13,23
2,8,db,58,"6,8"
2,8,gb,7,"2,6"
2,8,gb,8,"3,8"
2,9,sw,"11,5","2,1"
2,9,sw,14,"13,6"
3,1,sw,28,"17,9"
3,3,sw,32,"1,2"
3,3,sw,33,"1,8"
3,3,sw,20,"1,6"
3,3,sw,29,"1,4"
3,3,sw,29,"6,6"
3,3,db,10,3
3,3,db,"7,5","3,2"
3,3,sw,31,"26,6"
3,6,db,11,"2,2"
3,6,sw,5,"4,6"
3,6,sw,5,"4,8"
3,6,db,"6,5","2,2"
3,7,db,65,"11,8"
3,7,sw,25,"23,4"
3,8,db,9,45
3,8,db,12,"4,6"
3,9,db,22,"8,3"
3,9,sw,18,"20,2"
3,9,sw,34,"31,4"
3,10,sw,19,"41,4"
4,5,sw,15,"6,6"
4,6,gb,11,6
4,6,sw,"10,5",16
4,6,db,11,"2,2"
4,7,db,35,25
4,7,db,12,4
4,8,sw,16,"19,6"
5,1,sw,10,"5,2"
5,1,sw,9,"7,4"
5,1,gb,"14,5",19
5,1,db,15,"5,6"
5,5,sw,34,"29,4"
5,5,gb,9,"10,6"
5,7,br,12,4
5,8,sw,17,"15,6"
5,9,sw,11,"6,5"
