Nr kłody,Gatunek,Średnica,Klasa rozkładu,Drzewostan,Sektor,Numer grupy (od lewej)
1,js,21,1,lp,1,5
2,js,"16,5",2,lp,1,5
3,js,"10,5",4,lp,1,5
4,js,13,3,lp,1,5
5,sw,30,4,lp,1,5
6,js,14,2,lp,1,5
7,gb,10,3,gb,1,5
8,sw,14,3,gb,2,5
9,sw,34,4,gb,2,5
10,sw,31,2,lp,2,5
11,sw,49,4,gb,2,5
12,lp,"10,5",1,gb,2,5
13,gb,10,2,gb,2,5
14,js,34,2,gb,2,5
15,gb,"22,5",3,gb,2,5
16,js,39,3,gb,2,5
17,lp,16,1,lp,3,5
18,sw,13,1,gb,3,5
19,gb,13,3,gb,3,5
20,sw,"34,5",3,gb,3,5
21,os,17,3,gb,3,5
22,sw,"21,5",4,gb,3,5
23,sw,17,3,gb,3,5
24,sw,26,3,gb,3,5
25,sw,21,2,gb,4,5
26,sw,10,2,lp,4,5
27,gb,15,2,gb,5,5
28,gb,11,2,gb,5,5
29,gb,"13,5",2,lp,5,5
30,sw,35,4,gb,6,5
31,gb,15,4,gb,6,5
32,sw,"24,5",2,gb,6,5
33,sw,24,3,lp,6,5
34,sw,32,4,gb,6,5
35,lp,15,2,lp,6,5
36,os,"13,5",2,lp,6,5
37,os,"49,5",2,gb,7,5
38,os,16,2,gb,7,5
39,gb,19,4,gb,7,5
40,gb,10,4,gb,8,5
41,os,18,2,gb,8,5
42,os,23,2,gb,8,5
43,os,17,2,gb,8,5
44,lp,19,2,lp,8,5
45,lp,"38,5",2,lp,8,5
46,lp,"15,5",3,gb,8,5
47,sw,23,2,lp,8,5
48,gb,"13,5",4,gb,9,5
49,gb,"50,5",3,gb,9,5
1,gb,"10,5",1,gb,1,2
2,sw,"30,5",2,gb,1,2
3,sw,"13,5",2,gb,1,2
4,sw,NA,5,gb,2,2
5,gb,"17,5",4,gb,2,2
6,sw,25,2,gb,2,2
7,sw,"27,5",4,gb,2,2
8,js,15,2,gb,2,2
9,js,13,2,gb,3,2
10,sw,45,2,gb,3,2
11,js,26,3,gb,3,2
12,js,34,2,gb,3,2
13,js,"43,5",2,gb,3,2
14,sw,"27,5",3,gb,4,2
15,sw,29,4,gb,4,2
16,sw,"33,5",4,sw,4,2
17,sw,11,1,gb,4,2
18,lp,16,1,gb,4,2
19,lp,27,1,gb,4,2
20,lp,"11,5",1,gb,4,2
21,sw,"20,5",2,gb,4,2
22,db,31,3,gb,5,2
23,db,"16,5",3,gb,5,2
24,sw,20,4,gb,5,2
25,js,29,1,lp,5,2
26,lp,"28,5",1,sw,5,2
27,js,37,2,gb,6,2
28,gb,"37,5",3,lp,6,2
29,gb,"32,5",3,gb,7,2
30,db,"18,5",2,db,7,2
31,db,19,2,db,8,2
32,gb,"33,5",4,sw,8,2
33,gb,"12,5",2,gb,8,2
34,sw,35,2,gb,8,2
35,gb,"12,5",2,gb,8,2
36,sw,15,3,gb,8,2
37,os,36,3,os,9,2
38,br,"24,5",3,gb,9,2
39,br,26,3,gb,9,2
1,js,14,2,lp,1,4
2,sw,-,5,kl,1,4
3,gb,"20,5",4,gb,1,4
4,sw,23,1,gb,2,4
5,sw,-,5,gb,2,4
6,sw,17,3,gb,3,4
7,js,37,2,gb,3,4
8,gb,13,1,gb,3,4
9,sw,-,5,gb,3,4
10,lp,"13,5",3,gb,3,4
11,gb,18,4,gb,3,4
12,sw,24,4,db,3,4
